Year,Month,Carrier_ID,Carrier_Name,Airport (3 letter Code),Airport Name,Latitude,Longitude,Total Flights Arrival,Total Arrivals  >15 Delay (Minutes),Total Delays Due to Carrier Reasons,Total Delays Due to Weather,Total Delays Due to National Aviation Systems,Total Delays Due to security Breach,Total Delays Due to Late Aircraft,Total Cancelled Flights,Total Diverted Flights,Delay Due to Late Arrival (Minutes),Delays Due to Carriers Resons (Minutes),Delays Due to Weather (Minutes),Dealys Due to National Aviation Systems (Minutes),Dealys Due to Security Breach (Minutes),Delays Due to Late Aircraft (Minutes)
2024,1,9E,Endeavor Air Inc.,ABE,Lehigh Valley International Airport,40.651773,-75.442797,44,3,2,0,0,0,1,0,1,89,56,0,3,0,30
2024,3,9E,Endeavor Air Inc.,ABY,Aboyi Airstrip,-4.288741,140.640664,90,1,1,0,0,0,0,0,0,23,22,0,1,0,0
2024,1,9E,Endeavor Air Inc.,AEX,Alexandria International Airport,31.3274,-92.549797,88,8,6,0,2,0,1,0,1,338,265,0,45,0,28
2024,2,9E,Endeavor Air Inc.,AGS,Augusta Regional At Bush Field,33.3699,-81.9645,184,9,4,0,2,0,3,0,0,508,192,0,92,0,224
2024,6,9E,Endeavor Air Inc.,ALB,Albany International Airport,42.74829865,-73.80169678,76,11,5,0,5,0,1,1,0,692,398,0,178,0,116
2024,9,9E,Endeavor Air Inc.,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,5985,445,143,12,161,1,128,5,0,30756,16390,1509,5060,16,7781
2024,11,9E,Endeavor Air Inc.,ATW,Appleton International Airport,44.258099,-88.519096,142,14,5,0,8,0,1,1,0,436,162,0,182,0,92
2024,5,9E,Endeavor Air Inc.,AVL,Presidente Avellaneda Airport,-29.1061,-59.6569,147,10,6,1,1,0,2,0,1,1070,838,141,24,0,67
2024,1,9E,Endeavor Air Inc.,AZO,Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,84,14,6,1,7,0,0,1,1,2006,1164,619,223,0,0
2024,1,9E,Endeavor Air Inc.,BDL,Bradley International Airport,41.93851,-72.688066,150,19,6,0,12,0,1,3,0,846,423,0,389,0,34
2024,12,9E,Endeavor Air Inc.,BHM,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,123,9,7,0,1,0,1,0,0,572,527,0,26,0,19
2024,4,9E,Endeavor Air Inc.,BIS,Bismarck Municipal Airport,46.77270126,-100.7460022,25,7,0,0,4,0,3,2,0,278,13,0,93,0,172
2024,2,9E,Endeavor Air Inc.,BMI,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,59,5,3,0,1,0,0,0,0,218,155,0,47,0,16
2024,4,9E,Endeavor Air Inc.,BNA,Nashville International Airport,36.131687,-86.668823,2,1,0,0,1,0,0,0,0,20,0,0,20,0,0
2024,5,9E,Endeavor Air Inc.,BOS,Lobos Airport,-35.210784,-59.137149,21,3,1,1,1,0,0,0,0,158,17,81,60,0,0
2024,8,9E,Endeavor Air Inc.,BQK,Brunswick Golden Isles Airport,31.258801,-81.466499,90,6,4,0,2,0,1,0,0,374,249,0,88,0,37
2024,10,9E,Endeavor Air Inc.,BTR,Batri Airstrip,-6.5522,143.9441,115,5,5,0,0,0,0,0,1,244,236,0,8,0,0
2024,12,9E,Endeavor Air Inc.,BTV,Burlington International Airport,44.471901,-73.153297,90,10,3,1,5,0,1,0,0,759,220,258,211,0,70
2024,6,9E,Endeavor Air Inc.,BUF,Buffalo Niagara International Airport,42.940498,-78.732201,14,1,1,0,0,0,0,1,0,18,18,0,0,0,0
2024,1,9E,Endeavor Air Inc.,BWI,Banyuwangi International Airport,-8.31015,114.3401,96,17,9,0,5,0,3,1,0,1064,558,0,200,0,306
2024,11,9E,Endeavor Air Inc.,CAE,Columbia Metropolitan Airport,33.938801,-81.119499,106,5,4,0,1,0,0,0,0,230,205,0,25,0,0
2024,10,9E,Endeavor Air Inc.,CHA,Charata Airport,-27.2164,-61.2103,213,12,6,3,1,0,2,0,0,542,279,202,25,0,36
2024,9,9E,Endeavor Air Inc.,CHO,Cholila Airport,-42.484722,-71.460556,86,1,1,0,0,0,0,1,1,17,10,0,0,0,7
2024,3,9E,Endeavor Air Inc.,CHS,Charleston International Airport,32.898602,-80.040497,61,6,3,0,3,0,0,1,0,209,121,0,67,0,21
